Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
SANTA CATARINA;SUL;CAMPO ALEGRE_SC;JOINVILLE;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;JULIO DE CASTILHOS_RS;LAJEADO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;CANDIOTA_RS;CARAZINHO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO MARTINHO_RS;SANTA CRUZ DO SUL;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CONTAGEM_MG;BELO HORIZONTE;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;SAO LOURENCO DO SUL_RS;SANTA CRUZ DO SUL;SIM;SIM;SIM
GOIAS;CENTRO-OESTE;MONTES CLAROS DE GOIAS_GO;GOIANIA;SIM;SIM;SIM
SAO PAULO;SUDESTE;PRAIA GRANDE_SP;SAO VICENTE;SIM;SIM;SIM
PARANA;SUL;SERTANEJA_PR;LONDRINA;SIM;SIM;SIM
SAO PAULO;SUDESTE;MACEDONIA_SP;JALES;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;BETIM_MG;BELO HORIZONTE;SIM;SIM;SIM
PARANA;SUL;CAMPO LARGO_PR;CURITIBA;SIM;SIM;SIM
PARANA;SUL;LONDRINA_PR;LONDRINA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;SABARA_MG;BELO HORIZONTE;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ROMARIA_MG;UBERLANDIA;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;ALFREDO CHAVES_ES;VITORIA;SIM;SIM;SIM
RIO DE JANEIRO;SUDESTE;NITEROI_RJ;NITEROI;SIM;SIM;SIM
SAO PAULO;SUDESTE;MAIRINQUE_SP;SOROCABA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;ALEGRETE_RS;BAGE;SIM;SIM;SIM
PARANA;SUL;SAO JOSE DOS PINHAIS_PR;CURITIBA;SIM;SIM;SIM
SAO PAULO;SUDESTE;VALENTIM GENTIL_SP;JALES;SIM;SIM;SIM
MATO GROSSO;CENTRO-OESTE;PRIMAVERA DO LESTE_MT;MATO GROSSO;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;GUARAPARI_ES;VITORIA;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;ARAGUARI_MG;UBERLANDIA;SIM;SIM;SIM
SAO PAULO;SUDESTE;VITORIA BRASIL_SP;JALES;SIM;SIM;SIM
RIO DE JANEIRO;SUDESTE;ITATIAIA_RJ;RESENDE;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;COLATINA_ES;COLATINA;SIM;SIM;SIM
SAO PAULO;SUDESTE;BRODOWSKI_SP;RIBEIRAO PRETO;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;ALMIRANTE TAMANDARE DO SUL_RS;BAGE;SIM;SIM;SIM
ESPIRITO SANTO;SUDESTE;ANCHIETA_ES;VITORIA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;MARATA_RS;NOVO HAMBURGO;SIM;SIM;SIM
SANTA CATARINA;SUL;MORRO DA FUMACA_SC;CRICIUMA;SIM;SIM;SIM
GOIAS;CENTRO-OESTE;CATALAO_GO;GOIANIA;SIM;SIM;SIM
SAO PAULO;SUDESTE;JABOTICABAL_SP;RIBEIRAO PRETO;SIM;SIM;SIM
PARANA;SUL;ASSAI_PR;LONDRINA;SIM;SIM;SIM
SANTA CATARINA;SUL;AGUAS MORNAS_SC;FLORIANOPOLIS;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTA ROSA DE VITERBO_SP;RIBEIRAO PRETO;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;PIRACEMA_MG;BELO HORIZONTE;SIM;SIM;SIM
SAO PAULO;SUDESTE;LUIS ANTONIO_SP;RIBEIRAO PRETO;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;CONGONHAS_MG;BELO HORIZONTE;SIM;SIM;SIM
SAO PAULO;SUDESTE;PONTAL_SP;RIBEIRAO PRETO;SIM;SIM;SIM
SAO PAULO;SUDESTE;VOTORANTIM_SP;SOROCABA;SIM;SIM;SIM
PARANA;SUL;ARAPONGAS_PR;LONDRINA;SIM;SIM;SIM
SAO PAULO;SUDESTE;MERIDIANO_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;PITANGUEIRAS_SP;RIBEIRAO PRETO;SIM;SIM;SIM
SAO PAULO;SUDESTE;GUARIBA_SP;RIBEIRAO PRETO;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;UBERLANDIA_MG;UBERLANDIA;SIM;SIM;SIM
RIO GRANDE DO SUL;SUL;CHARQUEADAS_RS;CARAZINHO;SIM;SIM;SIM
SAO PAULO;SUDESTE;VOTUPORANGA_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;DIADEMA_SP;SAO BERNARDO DO CAMPO;SIM;SIM;SIM
PARANA;SUL;CASCAVEL_PR;CASCAVEL;SIM;SIM;SIM
MINAS GERAIS;SUDESTE;BRUMADINHO_MG;BELO HORIZONTE;SIM;SIM;SIM
PARANA;SUL;PINHAIS_PR;CURITIBA;SIM;SIM;SIM
MATO GROSSO;CENTRO-OESTE;CAMPO VERDE_MT;MATO GROSSO;SIM;SIM;SIM
SAO PAULO;SUDESTE;SANTOS_SP;SANTOS;SIM;SIM;SIM
PARANA;SUL;PRIMEIRO DE MAIO_PR;LONDRINA;SIM;SIM;SIM
SANTA CATARINA;SUL;TREVISO_SC;CRICIUMA;SIM;SIM;SIM
SAO PAULO;SUDESTE;NOVA CANAA PAULISTA_SP;JALES;SIM;SIM;SIM
SAO PAULO;SUDESTE;CASSIA DOS COQUEIROS_SP;RIBEIRAO PRETO;SIM;SIM;SIM
