Estado;Regiao;Municipio;Subsecao_Judiciaria TRF;Atuacao_DPU;DPU_Presencial;DPU_Remoto
ACRE;NORTE;JORDAO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;NOVA NAZARE_MT;GARCAS;NAO;NAO;NAO
AMAZONAS;NORTE;MARAA_AM;TEFE;NAO;NAO;NAO
ACRE;NORTE;TARAUACA_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
ACRE;NORTE;PORTO WALTER_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;VARGEM ALEGRE_MG;IPATINGA;NAO;NAO;NAO
ACRE;NORTE;MARECHAL THAUMATURGO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
AMAZONAS;NORTE;FONTE BOA_AM;TEFE;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;JARDIM DE ANGICOS_RN;CEARA-MIRIM;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;CAMPINAPOLIS_MT;GARCAS;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;CORONEL SAPUCAIA_MS;PONTA PORA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;PARANHOS_MS;PONTA PORA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;JAPORA_MS;NAVIRAIV;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;NOVA PORTEIRINHA_MG;JANAUBA;NAO;NAO;NAO
PARA;NORTE;PAU D'ARCO_PA;REDENCAO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CARNAUBEIRA DA PENHA_PE;SALGUEIRO;NAO;NAO;NAO
BAHIA;NORDESTE;BURITIRAMA_BA;BARREIRAS;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;CAMPOS VERDES_GO;URUACU;NAO;NAO;NAO
AMAZONAS;NORTE;JURUA_AM;TEFE;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;GRAMADO DOS LOUREIROS_RS;ERECHIM;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;CAICARA DO NORTE_RN;CEARA-MIRIM;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;ITAIPE_MG;TEOFILO OTONI;NAO;NAO;NAO
AMAZONAS;NORTE;TAPAUA_AM;TEFE;NAO;NAO;NAO
ACRE;NORTE;FEIJO_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SAO SEBASTIAO DO ANTA_MG;IPATINGA;NAO;NAO;NAO
TOCANTINS;NORTE;MURICILANDIA_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PEDRA PRETA_RN;CEARA-MIRIM;NAO;NAO;NAO
BAHIA;NORDESTE;ITANAGRA_BA;ALAGOINHAS;NAO;NAO;NAO
BAHIA;NORDESTE;PARATINGA_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;TAPARUBA_MG;MANHUACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CALUMBI_PE;SERRA TALHADA;NAO;NAO;NAO
PARA;NORTE;BANNACH_PA;REDENCAO;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SANTA HELENA DE MINAS_MG;TEOFILO OTONI;NAO;NAO;NAO
SERGIPE;NORDESTE;BREJO GRANDE_SE;PROPRIA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;LADAINHA_MG;TEOFILO OTONI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BREJAO_PE;GARANHUNS;NAO;NAO;NAO
BAHIA;NORDESTE;CATOLANDIA_BA;BARREIRAS;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;TERESINA DE GOIAS_GO;FORMOSA;NAO;NAO;NAO
CEARA;NORDESTE;CARIDADE_CE;MARACANAU;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BERTOPOLIS_MG;TEOFILO OTONI;NAO;NAO;NAO
BAHIA;NORDESTE;BAIANOPOLIS_BA;BARREIRAS;NAO;NAO;NAO
ACRE;NORTE;MANCIO LIMA_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;PARANATAMA_PE;GARANHUNS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;INAJA_PE;ARCOVERDE;NAO;NAO;NAO
CEARA;NORDESTE;IBICUITINGA_CE;QUIXADA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SAO JOAO DAS MISSOES_MG;JANAUBA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;TRIUNFO POTIGUAR_RN;ACU;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;FORMOSO_MG;UNAI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;IATI_PE;GARANHUNS;NAO;NAO;NAO
BAHIA;NORDESTE;PRADO_BA;TEIXEIRA DE FREITAS;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PARANA_RN;PAU DOS FERROS;NAO;NAO;NAO
BAHIA;NORDESTE;ITAPEBI_BA;EUNAPOLIS;NAO;NAO;NAO
BAHIA;NORDESTE;JUSSARA_BA;IRECE;NAO;NAO;NAO
BAHIA;NORDESTE;CONDE_BA;ALAGOINHAS;NAO;NAO;NAO
CEARA;NORDESTE;IBARETAMA_CE;QUIXADA;NAO;NAO;NAO
PARA;NORTE;JACAREACANGA_PA;ITAITUBA;NAO;NAO;NAO
BAHIA;NORDESTE;SITIO DO MATO_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;TACURU_MS;NAVIRAIV;NAO;NAO;NAO
TOCANTINS;NORTE;SAMPAIO_TO;ARAGUAINA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BIQUINHAS_MG;SETE LAGOAS;NAO;NAO;NAO
BAHIA;NORDESTE;MACURURE_BA;PAULO AFONSO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;SEVERIANO MELO_RN;PAU DOS FERROS;NAO;NAO;NAO
TOCANTINS;NORTE;AXIXA DO TOCANTINS_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;REDENTORA_RS;PELOTAS;NAO;NAO;NAO
SERGIPE;NORDESTE;ITABAIANINHA_SE;ESTANCIA;NAO;NAO;NAO
BAHIA;NORDESTE;MUQUEM DO SAO FRANCISCO_BA;BARREIRAS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CATUJI_MG;TEOFILO OTONI;NAO;NAO;NAO
TOCANTINS;NORTE;ESPERANTINA_TO;ARAGUAINA;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;LAGOA SANTA_GO;JATAI;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;IELMO MARINHO_RN;CEARA-MIRIM;NAO;NAO;NAO
AMAZONAS;NORTE;CARAUARI_AM;TEFE;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;OROCO_PE;SALGUEIRO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;VENHA-VER_RN;PAU DOS FERROS;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;UNIAO DO SUL_MT;SINOP;NAO;NAO;NAO
BAHIA;NORDESTE;SANTA RITA DE CASSIA_BA;BARREIRAS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;INDAIABIRA_MG;JANAUBA;NAO;NAO;NAO
PARA;NORTE;TRAIRAO_PA;ITAITUBA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;TEREZINHA_PE;GARANHUNS;NAO;NAO;NAO
AMAZONAS;NORTE;COARI_AM;TEFE;NAO;NAO;NAO
TOCANTINS;NORTE;PIRAQUE_TO;ARAGUAINA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;XEXEU_PE;PALMARES;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BERIZAL_MG;JANAUBA;NAO;NAO;NAO
TOCANTINS;NORTE;CARMOLANDIA_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;BODO_RN;ACU;NAO;NAO;NAO
TOCANTINS;NORTE;GOIATINS_TO;ARAGUAINA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;OURO VERDE DE MINAS_MG;TEOFILO OTONI;NAO;NAO;NAO
BAHIA;NORDESTE;OUROLANDIA_BA;CAMPO FORMOSO;NAO;NAO;NAO
AMAZONAS;NORTE;JAPURA_AM;TEFE;NAO;NAO;NAO
BAHIA;NORDESTE;MANSIDAO_BA;BARREIRAS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SANTA FILOMENA_PE;OURICURI;NAO;NAO;NAO
BAHIA;NORDESTE;MULUNGU DO MORRO_BA;IRECE;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;LUCIARA_MT;GARCAS;NAO;NAO;NAO
PARANA;SUL;HONORIO SERPA_PR;PATO BRANCO;NAO;NAO;NAO
TOCANTINS;NORTE;BABACULANDIA_TO;ARAGUAINA;NAO;NAO;NAO
SERGIPE;NORDESTE;ARAUA_SE;ESTANCIA;NAO;NAO;NAO
ACRE;NORTE;RODRIGUES ALVES_AC;CRUZEIRO DO SUL;NAO;NAO;NAO
BAHIA;NORDESTE;MORPARA_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;BALNEARIO PINHAL_RS;BENTO GONCALVES;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;RIO DO PRADO_MG;TEOFILO OTONI;NAO;NAO;NAO
SERGIPE;NORDESTE;SANTANA DO SAO FRANCISCO_SE;PROPRIA;NAO;NAO;NAO
BAHIA;NORDESTE;MONTE SANTO_BA;CAMPO FORMOSO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;JANDAIRA_RN;CEARA-MIRIM;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;SAO VALERIO DO SUL_RS;SANTA MARIA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;IGUATEMI_MS;NAVIRAIV;NAO;NAO;NAO
CEARA;NORDESTE;TURURU_CE;ITAPIPOCA;NAO;NAO;NAO
BAHIA;NORDESTE;PEDRO ALEXANDRE_BA;PAULO AFONSO;NAO;NAO;NAO
BAHIA;NORDESTE;CARDEAL DA SILVA_BA;ALAGOINHAS;NAO;NAO;NAO
SERGIPE;NORDESTE;INDIAROBA_SE;ESTANCIA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CAMPOS ALTOS_MG;UBERABA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;JARDIM DE PIRANHAS_RN;CAICO;NAO;NAO;NAO
TOCANTINS;NORTE;ARAGOMINAS_TO;ARAGUAINA;NAO;NAO;NAO
AMAZONAS;NORTE;ALVARAES_AM;TEFE;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;ALMINO AFONSO_RN;PAU DOS FERROS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;ARACUAI_MG;TEOFILO OTONI;NAO;NAO;NAO
AMAZONAS;NORTE;UARINI_AM;TEFE;NAO;NAO;NAO
BAHIA;NORDESTE;MATINA_BA;GUANAMBI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;EXU_PE;OURICURI;NAO;NAO;NAO
BAHIA;NORDESTE;CALDEIRAO GRANDE_BA;CAMPO FORMOSO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;TOUROS_RN;CEARA-MIRIM;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;PARNAMIRIM_PE;SALGUEIRO;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;MONTE ALEGRE DE GOIAS_GO;FORMOSA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;TRINDADE_PE;OURICURI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SALOA_PE;GARANHUNS;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;MONTIVIDIU DO NORTE_GO;URUACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;POCAO_PE;ARCOVERDE;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;AGUAS BELAS_PE;GARANHUNS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;JOAIMA_MG;TEOFILO OTONI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;IPUBI_PE;OURICURI;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SETUBINHA_MG;TEOFILO OTONI;NAO;NAO;NAO
BAHIA;NORDESTE;XIQUE-XIQUE_BA;IRECE;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;RIO DO FOGO_RN;CEARA-MIRIM;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BETANIA_PE;SERRA TALHADA;NAO;NAO;NAO
BAHIA;NORDESTE;ANGICAL_BA;BARREIRAS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;RIACHINHO_MG;UNAI;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CAMPO FLORIDO_MG;UBERABA;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;DIVINOPOLIS DE GOIAS_GO;FORMOSA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;DIVISA ALEGRE_MG;TEOFILO OTONI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;MOREILANDIA_PE;OURICURI;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;DIVISOPOLIS_MG;TEOFILO OTONI;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;GALINHOS_RN;ACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CAPOEIRAS_PE;GARANHUNS;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;ITAJA_RN;ACU;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;PORTO FIRME_MG;VICOSA;NAO;NAO;NAO
BAHIA;NORDESTE;GUARATINGA_BA;EUNAPOLIS;NAO;NAO;NAO
BAHIA;NORDESTE;WANDERLEY_BA;BARREIRAS;NAO;NAO;NAO
PARA;NORTE;MOJUI DOS CAMPOS_PA;NAO POSSUI;NAO;NAO;NAO
BAHIA;NORDESTE;CARINHANHA_BA;GUANAMBI;NAO;NAO;NAO
TOCANTINS;NORTE;MAURILANDIA DO TOCANTINS_TO;ARAGUAINA;NAO;NAO;NAO
BAHIA;NORDESTE;PONTO NOVO_BA;CAMPO FORMOSO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;GRANITO_PE;OURICURI;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;JOAQUIM NABUCO_PE;PALMARES;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;ITACARAMBI_MG;JANAUBA;NAO;NAO;NAO
TOCANTINS;NORTE;BARRA DO OURO_TO;ARAGUAINA;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;JUTI_MS;NAVIRAIV;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SANTO ANTONIO DO RETIRO_MG;JANAUBA;NAO;NAO;NAO
BAHIA;NORDESTE;ITAGUACU DA BAHIA_BA;IRECE;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;MARAIAL_PE;PALMARES;NAO;NAO;NAO
BAHIA;NORDESTE;CHORROCHO_BA;PAULO AFONSO;NAO;NAO;NAO
TOCANTINS;NORTE;PARANA_TO;GURUPI;NAO;NAO;NAO
BAHIA;NORDESTE;SANTA BRIGIDA_BA;PAULO AFONSO;NAO;NAO;NAO
PARANA;SUL;RIO BRANCO DO IVAI_PR;PITANGA;NAO;NAO;NAO
SERGIPE;NORDESTE;JAPOATA_SE;PROPRIA;NAO;NAO;NAO
BAHIA;NORDESTE;RIBEIRA DO AMPARO_BA;ALAGOINHAS;NAO;NAO;NAO
TOCANTINS;NORTE;JUARINA_TO;ARAGUAINA;NAO;NAO;NAO
TOCANTINS;NORTE;SAO SEBASTIAO DO TOCANTINS_TO;ARAGUAINA;NAO;NAO;NAO
BAHIA;NORDESTE;LAJEDAO_BA;TEIXEIRA DE FREITAS;NAO;NAO;NAO
SERGIPE;NORDESTE;MONTE ALEGRE DE SERGIPE_SE;ITABAIANA;NAO;NAO;NAO
BAHIA;NORDESTE;BARRA_BA;IRECE;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;SAO RAFAEL_RN;ACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;JUPI_PE;GARANHUNS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CORTES_PE;CABO DE SANTO AGOSTINHO;NAO;NAO;NAO
BAHIA;NORDESTE;CANSANCAO_BA;CAMPO FORMOSO;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;TENENTE LAURENTINO CRUZ_RN;CAICO;NAO;NAO;NAO
BAHIA;NORDESTE;NOVO HORIZONTE_BA;GUANAMBI;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;MIRAVANIA_MG;JANAUBA;NAO;NAO;NAO
TOCANTINS;NORTE;SAO BENTO DO TOCANTINS_TO;ARAGUAINA;NAO;NAO;NAO
BAHIA;NORDESTE;CAFARNAUM_BA;IRECE;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;COUTO DE MAGALHAES DE MINAS_MG;SETE LAGOAS;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;GENERAL CARNEIRO_MT;GARCAS;NAO;NAO;NAO
BAHIA;NORDESTE;PALMEIRAS_BA;IRECE;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;CAETES_PE;GARANHUNS;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PEDRA GRANDE_RN;CEARA-MIRIM;NAO;NAO;NAO
BAHIA;NORDESTE;ALCOBACA_BA;TEIXEIRA DE FREITAS;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;NINHEIRA_MG;JANAUBA;NAO;NAO;NAO
CEARA;NORDESTE;ITATIRA_CE;QUIXADA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SERRA AZUL DE MINAS_MG;SETE LAGOAS;NAO;NAO;NAO
BAHIA;NORDESTE;CAEM_BA;CAMPO FORMOSO;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;SANTA MARGARIDA_MG;MANHUACU;NAO;NAO;NAO
PARA;NORTE;SAO FELIX DO XINGU_PA;REDENCAO;NAO;NAO;NAO
BAHIA;NORDESTE;AGUA FRIA_BA;ALAGOINHAS;NAO;NAO;NAO
SERGIPE;NORDESTE;CANINDE DE SAO FRANCISCO_SE;ITABAIANA;NAO;NAO;NAO
BAHIA;NORDESTE;MALHADA_BA;GUANAMBI;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;AGUAS VERMELHAS_MG;TEOFILO OTONI;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;CAVALCANTE_GO;FORMOSA;NAO;NAO;NAO
BAHIA;NORDESTE;RIACHAO DAS NEVES_BA;BARREIRAS;NAO;NAO;NAO
BAHIA;NORDESTE;BROTAS DE MACAUBAS_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CATUTI_MG;JANAUBA;NAO;NAO;NAO
SERGIPE;NORDESTE;TOMAR DO GERU_SE;ESTANCIA;NAO;NAO;NAO
SERGIPE;NORDESTE;RIACHAO DO DANTAS_SE;LAGARTO;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;LAJEADO DO BUGRE_RS;LAJEADO;NAO;NAO;NAO
TOCANTINS;NORTE;PALMEIRANTE_TO;ARAGUAINA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;BENTO FERNANDES_RN;CEARA-MIRIM;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;DATAS_MG;SETE LAGOAS;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;BENJAMIN CONSTANT DO SUL_RS;CACHOEIRA DO SUL;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;UMARIZAL_RN;PAU DOS FERROS;NAO;NAO;NAO
SANTA CATARINA;SUL;CALMON_SC;CACADOR;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;MAMBAI_GO;FORMOSA;NAO;NAO;NAO
PARA;NORTE;SANTA MARIA DAS BARREIRAS_PA;REDENCAO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;TUPANATINGA_PE;ARCOVERDE;NAO;NAO;NAO
BAHIA;NORDESTE;BOQUIRA_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BELEM DO SAO FRANCISCO_PE;SALGUEIRO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SANTA CRUZ_PE;OURICURI;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;SAO BENTO DO NORTE_RN;CEARA-MIRIM;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;SAO MIGUEL DO GOSTOSO_RN;CEARA-MIRIM;NAO;NAO;NAO
BAHIA;NORDESTE;ITABELA_BA;EUNAPOLIS;NAO;NAO;NAO
AMAZONAS;NORTE;TEFE_AM;TEFE;NAO;NAO;NAO
SANTA CATARINA;SUL;IPUACU_SC;CHAPECO;NAO;NAO;NAO
TOCANTINS;NORTE;NOVO JARDIM_TO;GURUPI;NAO;NAO;NAO
PARA;NORTE;AVEIRO_PA;ITAITUBA;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;MACAMBARA_RS;LAJEADO;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;QUIXABA_PE;SERRA TALHADA;NAO;NAO;NAO
BAHIA;NORDESTE;UMBURANAS_BA;CAMPO FORMOSO;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CURRAL DE DENTRO_MG;TEOFILO OTONI;NAO;NAO;NAO
SAO PAULO;SUDESTE;RUBIACEA_SP;ARACATUBA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BREJINHO_PE;SERRA TALHADA;NAO;NAO;NAO
CEARA;NORDESTE;MONSENHOR TABOSA_CE;CRATEUS;NAO;NAO;NAO
BAHIA;NORDESTE;IPUPIARA_BA;BOM JESUS DA LAPA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;RIO PARDO DE MINAS_MG;JANAUBA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SOLIDAO_PE;SERRA TALHADA;NAO;NAO;NAO
SERGIPE;NORDESTE;ILHA DAS FLORES_SE;PROPRIA;NAO;NAO;NAO
SERGIPE;NORDESTE;PORTO DA FOLHA_SE;PROPRIA;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;ENGENHO VELHO_RS;CRUZ ALTA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CONCEICAO DE IPANEMA_MG;MANHUACU;NAO;NAO;NAO
PARANA;SUL;LARANJAL_PR;PITANGA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SERRITA_PE;SALGUEIRO;NAO;NAO;NAO
BAHIA;NORDESTE;IBITITA_BA;IRECE;NAO;NAO;NAO
BAHIA;NORDESTE;GENTIO DO OURO_BA;IRECE;NAO;NAO;NAO
SERGIPE;NORDESTE;POCO REDONDO_SE;ITABAIANA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;TAMANDARE_PE;PALMARES;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;IGUARACY_PE;SERRA TALHADA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;CHAPADA GAUCHA_MG;UNAI;NAO;NAO;NAO
CEARA;NORDESTE;GENERAL SAMPAIO_CE;MARACANAU;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;NOVA AMERICA_GO;URUACU;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;JOAO DIAS_RN;PAU DOS FERROS;NAO;NAO;NAO
MATO GROSSO;CENTRO-OESTE;SANTO AFONSO_MT;DIAMANTINO;NAO;NAO;NAO
BAHIA;NORDESTE;ITIUBA_BA;CAMPO FORMOSO;NAO;NAO;NAO
BAHIA;NORDESTE;COTEGIPE_BA;BARREIRAS;NAO;NAO;NAO
CEARA;NORDESTE;SAO LUIS DO CURU_CE;ITAPIPOCA;NAO;NAO;NAO
PARA;NORTE;ITAITUBA_PA;ITAITUBA;NAO;NAO;NAO
SANTA CATARINA;SUL;MATOS COSTA_SC;CACADOR;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PUREZA_RN;CEARA-MIRIM;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;PARAZINHO_RN;CEARA-MIRIM;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;ITACURUBA_PE;SERRA TALHADA;NAO;NAO;NAO
SERGIPE;NORDESTE;PEDRINHAS_SE;ESTANCIA;NAO;NAO;NAO
RIO GRANDE DO NORTE;NORDESTE;ENCANTO_RN;PAU DOS FERROS;NAO;NAO;NAO
PARA;NORTE;FLORESTA DO ARAGUAIA_PA;REDENCAO;NAO;NAO;NAO
TOCANTINS;NORTE;ALMAS_TO;GURUPI;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;SITIO D'ABADIA_GO;FORMOSA;NAO;NAO;NAO
BAHIA;NORDESTE;RIO DO ANTONIO_BA;GUANAMBI;NAO;NAO;NAO
TOCANTINS;NORTE;CHAPADA DA NATIVIDADE_TO;GURUPI;NAO;NAO;NAO
GOIAS;CENTRO-OESTE;BONOPOLIS_GO;URUACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SAO BENTO DO UNA_PE;GARANHUNS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BUIQUE_PE;ARCOVERDE;NAO;NAO;NAO
BAHIA;NORDESTE;BARRA DO MENDES_BA;IRECE;NAO;NAO;NAO
CEARA;NORDESTE;SABOEIRO_CE;IGUATU;NAO;NAO;NAO
TOCANTINS;NORTE;ARRAIAS_TO;GURUPI;NAO;NAO;NAO
BAHIA;NORDESTE;BONINAL_BA;IRECE;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SANTA CRUZ DA BAIXA VERDE_PE;SERRA TALHADA;NAO;NAO;NAO
ESPIRITO SANTO;SUDESTE;IBITIRAMA_ES;CACHOEIRO DE ITAPEMIRIM;NAO;NAO;NAO
TOCANTINS;NORTE;SANTA ROSA DO TOCANTINS_TO;GURUPI;NAO;NAO;NAO
RIO GRANDE DO SUL;SUL;FONTOURA XAVIER_RS;ERECHIM;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;FRONTEIRA DOS VALES_MG;TEOFILO OTONI;NAO;NAO;NAO
BAHIA;NORDESTE;SAUDE_BA;CAMPO FORMOSO;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;BOA ESPERANCA_MG;LAVRAS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;BODOCO_PE;OURICURI;NAO;NAO;NAO
MATO GROSSO DO SUL;CENTRO-OESTE;MUNDO NOVO_MS;NAVIRAIV;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;MATIAS CARDOSO_MG;JANAUBA;NAO;NAO;NAO
SERGIPE;NORDESTE;PACATUBA_SE;PROPRIA;NAO;NAO;NAO
MINAS GERAIS;SUDESTE;PIEDADE DE CARATINGA_MG;MANHUACU;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;ANGELIM_PE;GARANHUNS;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;SAO JOSE DA COROA GRANDE_PE;PALMARES;NAO;NAO;NAO
TOCANTINS;NORTE;CACHOEIRINHA_TO;ARAGUAINA;NAO;NAO;NAO
PERNAMBUCO;NORDESTE;JAQUEIRA_PE;PALMARES;NAO;NAO;NAO
SANTA CATARINA;SUL;ABELARDO LUZ_SC;CHAPECO;NAO;NAO;NAO
