cod. ibge;Municipio;Familias;Pessoas;% relativo ao Censo 2022;IVCAD;NC;DPI;DCA;TQA;DR;CH
2602605;Brejo da Madre de Deus;17.212;39.606;81,40%;0,302;0,323;0,064;0,039;0,739;0,439;0,209
2102150;Brejo de Areia;2.930;7.884;85,50%;0,317;0,342;0,087;0,065;0,678;0,522;0,208
2502805;Brejo do Cruz;4.496;10.265;75,40%;0,282;0,278;0,048;0,077;0,717;0,43;0,143
2201988;Brejo do Piauí;1.476;3.318;85,00%;0,284;0,256;0,054;0,02;0,679;0,505;0,192
2502904;Brejo dos Santos;2.541;4.898;85,30%;0,289;0,24;0,057;0,052;0,734;0,484;0,163
2800704;Brejo Grande;2.269;6.121;78,10%;0,343;0,333;0,117;0,068;0,703;0,407;0,428
1501758;Brejo Grande do Araguaia;2.655;6.146;90,60%;0,303;0,312;0,077;0,051;0,662;0,457;0,257
2302503;Brejo Santo;11.959;29.145;57,00%;0,273;0,347;0,051;0,072;0,643;0,38;0,146
2904308;Brejões;4.631;9.389;72,50%;0,286;0,263;0,046;0,041;0,708;0,48;0,179
2904407;Brejolândia;2.968;7.044;77,30%;0,288;0,283;0,073;0,032;0,684;0,428;0,226
1501782;Breu Branco;16.515;34.359;75,20%;0,313;0,345;0,096;0,07;0,671;0,417;0,282
1501808;Breves;33.868;91.700;85,70%;0,396;0,388;0,135;0,1;0,761;0,471;0,519
5203807;Britânia;1.731;4.163;73,10%;0,253;0,373;0,082;0,04;0,629;0,279;0,117
4302659;Brochier;297;834;16,80%;0,272;0,424;0,097;0,054;0,654;0,261;0,14
3507803;Brodowski;3.279;7.559;30,00%;0,269;0,431;0,081;0,019;0,624;0,362;0,095
3507902;Brotas;2.148;5.239;21,90%;0,255;0,427;0,08;0,068;0,596;0,257;0,105
2904506;Brotas de Macaúbas;4.207;8.950;76,10%;0,318;0,263;0,053;0,056;0,733;0,488;0,317
3109006;Brumadinho;5.845;15.035;38,60%;0,267;0,4;0,086;0,045;0,613;0,292;0,166
2904605;Brumado;16.247;39.868;56,50%;0,25;0,329;0,071;0,058;0,626;0,283;0,136
4202875;Brunópolis;517;1.185;47,60%;0,314;0,356;0,077;0,07;0,714;0,346;0,32
4202909;Brusque;6.970;18.454;13,10%;0,274;0,474;0,097;0,035;0,582;0,301;0,156
3109105;Bueno Brandão;2.517;5.857;53,70%;0,243;0,357;0,074;0,05;0,645;0,207;0,124
3109204;Buenópolis;2.228;5.152;56,30%;0,325;0,359;0,081;0,053;0,642;0,373;0,444
2602704;Buenos Aires;5.314;10.630;83,00%;0,293;0,277;0,056;0,066;0,724;0,46;0,177
2904704;Buerarema;5.549;11.316;76,40%;0,287;0,318;0,067;0,048;0,734;0,434;0,12
3109253;Bugre;1.275;2.889;71,50%;0,279;0,312;0,089;0,053;0,693;0,409;0,119
2602803;Buíque;16.298;38.098;73,10%;0,313;0,301;0,086;0,046;0,692;0,467;0,284
1200138;Bujari;3.636;9.725;75,30%;0,317;0,397;0,124;0,054;0,675;0,351;0,299
1501907;Bujaru;9.522;23.248;95,30%;0,309;0,326;0,073;0,053;0,67;0,468;0,266
3508009;Buri;5.206;12.603;62,20%;0,282;0,391;0,087;0,033;0,643;0,438;0,099
3508108;Buritama;3.497;7.631;44,30%;0,254;0,36;0,068;0,012;0,617;0,381;0,084
2102200;Buriti;9.119;23.778;80,10%;0,328;0,326;0,072;0,061;0,629;0,494;0,386
5203906;Buriti Alegre;1.774;3.913;37,30%;0,27;0,41;0,09;0,051;0,62;0,293;0,153
2102309;Buriti Bravo;7.389;17.599;78,40%;0,298;0,319;0,074;0,054;0,663;0,471;0,208
5203939;Buriti de Goiás;953;1.937;70,90%;0,261;0,32;0,053;0,039;0,648;0,384;0,12
1703800;Buriti do Tocantins;2.161;5.508;53,40%;0,262;0,364;0,081;0,05;0,61;0,336;0,133
2202000;Buriti dos Lopes;6.050;15.667;79,70%;0,287;0,3;0,062;0,041;0,726;0,436;0,157
2202026;Buriti dos Montes;2.619;6.165;82,90%;0,275;0,267;0,041;0,04;0,655;0,435;0,214
2102325;Buriticupu;14.589;38.245;68,90%;0,302;0,388;0,102;0,078;0,672;0,412;0,164
5203962;Buritinópolis;1.032;2.391;76,00%;0,276;0,355;0,084;0,017;0,623;0,445;0,132
2904753;Buritirama;7.946;19.217;98,10%;0,329;0,311;0,092;0,064;0,728;0,501;0,278
2102358;Buritirana;3.599;9.641;74,60%;0,294;0,339;0,092;0,064;0,693;0,439;0,135
3109303;Buritis;6.958;16.063;66,80%;0,268;0,396;0,103;0,033;0,629;0,313;0,133
1100452;Buritis;5.516;13.934;49,80%;0,289;0,394;0,123;0,043;0,671;0,28;0,222
3508207;Buritizal;1.160;2.510;57,60%;0,271;0,337;0,047;0,024;0,662;0,465;0,091
3109402;Buritizeiro;8.584;17.642;73,80%;0,292;0,339;0,082;0,043;0,686;0,458;0,147
4302709;Butiá;3.885;8.114;42,50%;0,28;0,369;0,066;0,065;0,676;0,439;0,062
1300839;Caapiranga;3.708;9.958;73,90%;0,335;0,376;0,114;0,109;0,656;0,456;0,302
2503001;Caaporã;6.702;15.131;71,40%;0,32;0,359;0,094;0,07;0,713;0,466;0,217
5002407;Caarapó;4.975;13.400;43,80%;0,3;0,424;0,132;0,059;0,663;0,264;0,257
2904803;Caatiba;2.392;4.986;80,40%;0,305;0,265;0,04;0,061;0,75;0,435;0,276
2503100;Cabaceiras;1.808;4.442;83,30%;0,281;0,297;0,055;0,082;0,648;0,39;0,213
2904852;Cabaceiras do Paraguaçu;5.437;13.700;82,70%;0,304;0,323;0,063;0,102;0,651;0,466;0,216
3109451;Cabeceira Grande;1.791;3.783;57,10%;0,286;0,374;0,073;0,044;0,66;0,43;0,137
5204003;Cabeceiras;2.105;4.621;61,10%;0,289;0,385;0,107;0,023;0,616;0,443;0,158
2202059;Cabeceiras do Piauí;3.256;7.464;73,10%;0,29;0,279;0,049;0,036;0,693;0,447;0,235
2503209;Cabedelo;16.655;31.909;48,00%;0,3;0,321;0,079;0,044;0,676;0,523;0,159
1100031;Cabixi;1.236;3.102;58,00%;0,272;0,396;0,125;0,025;0,624;0,273;0,191
2602902;Cabo de Santo Agostinho;56.599;124.523;61,20%;0,27;0,335;0,08;0,048;0,617;0,408;0,132
3300704;Cabo Frio;49.966;107.923;48,60%;0,283;0,372;0,076;0,058;0,629;0,449;0,114
3109501;Cabo Verde;2.057;5.609;49,20%;0,251;0,364;0,083;0,097;0,642;0,21;0,108
3508306;Cabrália Paulista;1.083;2.594;60,30%;0,26;0,376;0,073;0,038;0,619;0,346;0,106
3508405;Cabreúva;4.888;12.562;26,70%;0,282;0,452;0,112;0,058;0,614;0,337;0,119
2603009;Cabrobó;13.783;27.876;92,00%;0,271;0,265;0,053;0,025;0,601;0,489;0,193
4203006;Caçador;11.373;29.373;39,80%;0,288;0,476;0,115;0,055;0,629;0,297;0,154
3508504;Caçapava;10.580;26.413;27,50%;0,257;0,423;0,094;0,044;0,577;0,323;0,077
4302808;Caçapava do Sul;5.987;12.196;37,50%;0,278;0,349;0,061;0,051;0,662;0,417;0,132
1100601;Cacaulândia;1.151;3.103;74,80%;0,269;0,402;0,132;0,016;0,638;0,212;0,215
4302907;Cacequi;2.612;5.295;47,50%;0,292;0,313;0,07;0,025;0,665;0,484;0,193
5102504;Cáceres;20.090;51.358;57,30%;0,269;0,393;0,097;0,033;0,578;0,355;0,156
2904902;Cachoeira;10.951;21.802;74,50%;0,269;0,256;0,045;0,028;0,641;0,459;0,184
5204102;Cachoeira Alta;2.374;5.409;47,00%;0,277;0,393;0,104;0,056;0,622;0,373;0,115
3109600;Cachoeira da Prata;817;1.992;53,90%;0,233;0,39;0,048;0,033;0,571;0,271;0,088
5204201;Cachoeira de Goiás;480;1.004;71,50%;0,292;0,338;0,08;0,056;0,651;0,453;0,173
3109709;Cachoeira de Minas;1.265;3.484;29,30%;0,249;0,405;0,089;0,069;0,615;0,216;0,101
3102704;Cachoeira de Pajeú;3.160;5.983;65,70%;0,273;0,245;0,064;0,035;0,676;0,481;0,139
1502004;Cachoeira do Arari;7.419;18.804;78,40%;0,349;0,302;0,082;0,087;0,731;0,486;0,404
1501956;Cachoeira do Piriá;6.369;16.289;83,00%;0,317;0,34;0,088;0,052;0,676;0,447;0,298
4303004;Cachoeira do Sul;13.278;28.784;35,90%;0,283;0,39;0,08;0,057;0,644;0,405;0,12
2503308;Cachoeira dos Índios;3.190;7.215;78,80%;0,328;0,284;0,058;0,053;0,702;0,449;0,425
5204250;Cachoeira Dourada;1.871;4.233;54,40%;0,258;0,374;0,057;0,031;0,632;0,32;0,132
3109808;Cachoeira Dourada;545;1.102;47,60%;0,267;0,339;0,047;0,039;0,595;0,377;0,203
2102374;Cachoeira Grande;5.124;10.674;109,70%;0,321;0,303;0,079;0,06;0,603;0,51;0,368
3508603;Cachoeira Paulista;5.048;11.626;36,80%;0,295;0,354;0,074;0,051;0,626;0,481;0,182
3300803;Cachoeiras de Macacu;14.516;30.364;53,30%;0,291;0,329;0,057;0,062;0,669;0,462;0,165
4303103;Cachoeirinha;21.203;47.667;35,00%;0,272;0,41;0,089;0,052;0,589;0,388;0,103
2603108;Cachoeirinha;7.638;15.753;79,20%;0,298;0,264;0,058;0,035;0,718;0,461;0,249
1703826;Cachoeirinha;678;1.830;93,30%;0,284;0,386;0,128;0,041;0,609;0,374;0,165
3201209;Cachoeiro de Itapemirim;31.223;72.284;38,90%;0,266;0,411;0,074;0,048;0,618;0,358;0,087
2503407;Cacimba de Areia;1.559;3.215;97,70%;0,297;0,258;0,056;0,069;0,697;0,506;0,196
2503506;Cacimba de Dentro;4.610;12.383;77,10%;0,286;0,316;0,071;0,018;0,715;0,42;0,174
2503555;Cacimbas;2.821;6.340;87,80%;0,351;0,322;0,089;0,049;0,768;0,529;0,348
2701209;Cacimbinhas;2.823;7.254;69,20%;0,301;0,318;0,064;0,091;0,724;0,393;0,214
4303202;Cacique Doble;861;2.123;46,10%;0,3;0,36;0,108;0,015;0,652;0,307;0,358
1100049;Cacoal;17.597;41.640;47,90%;0,266;0,41;0,118;0,053;0,598;0,286;0,133
3508702;Caconde;3.146;8.100;47,40%;0,264;0,39;0,098;0,083;0,602;0,291;0,117
5204300;Caçu;3.397;6.954;50,50%;0,276;0,366;0,083;0,039;0,617;0,377;0,174
2905008;Caculé;5.167;13.147;58,50%;0,258;0,338;0,073;0,027;0,637;0,322;0,155
2905107;Caém;4.152;8.457;81,40%;0,303;0,266;0,045;0,047;0,745;0,511;0,2
3109907;Caetanópolis;1.876;4.291;37,50%;0,285;0,389;0,097;0,06;0,651;0,367;0,145
2905156;Caetanos;3.985;9.793;86,90%;0,331;0,274;0,069;0,046;0,81;0,463;0,325
3110004;Caeté;5.336;13.082;33,70%;0,269;0,41;0,094;0,051;0,598;0,363;0,1
2603207;Caetés;8.665;22.369;77,60%;0,316;0,326;0,096;0,054;0,687;0,488;0,247
2905206;Caetité;14.826;35.933;69,10%;0,281;0,29;0,066;0,055;0,667;0,386;0,223
2905305;Cafarnaum;5.739;14.642;83,80%;0,298;0,304;0,061;0,081;0,683;0,471;0,185
4103404;Cafeara;471;1.254;47,70%;0,25;0,348;0,07;0,056;0,617;0,275;0,135
4103453;Cafelândia;3.631;8.948;47,10%;0,259;0,448;0,1;0,06;0,547;0,295;0,105
3508801;Cafelândia;2.503;5.750;34,50%;0,266;0,388;0,073;0,045;0,611;0,383;0,096
4103479;Cafezal do Sul;923;2.231;49,90%;0,248;0,379;0,093;0,045;0,658;0,202;0,111
3508900;Caiabu;584;1.364;36,70%;0,248;0,371;0,071;0,022;0,586;0,357;0,078
3110103;Caiana;1.328;3.344;63,00%;0,276;0,329;0,101;0,06;0,665;0,372;0,126
5204409;Caiapônia;4.026;9.022;54,60%;0,256;0,409;0,097;0,028;0,616;0,221;0,163
4303301;Caibaté;776;1.785;37,90%;0,261;0,346;0,061;0,031;0,648;0,316;0,162
4203105;Caibi;483;1.388;22,00%;0,275;0,436;0,099;0,085;0,612;0,22;0,198
2503605;Caiçara;2.044;4.761;72,10%;0,304;0,286;0,059;0,077;0,723;0,434;0,244
4303400;Caiçara;878;1.818;37,60%;0,359;0,348;0,082;0,052;0,641;0,465;0,566
2401859;Caiçara do Norte;1.947;4.948;78,60%;0,366;0,302;0,08;0,062;0,77;0,461;0,519
2401909;Caiçara do Rio do Vento;1.316;3.071;94,00%;0,285;0,296;0,056;0,073;0,716;0,443;0,125
2402006;Caicó;16.257;34.852;57,00%;0,253;0,318;0,05;0,041;0,626;0,386;0,097
3509007;Caieiras;12.469;28.561;30,10%;0,264;0,403;0,063;0,037;0,563;0,432;0,085
2905404;Cairu;5.631;12.628;71,10%;0,302;0,345;0,064;0,051;0,656;0,448;0,245
3509106;Caiuá;1.110;2.416;44,20%;0,266;0,307;0,084;0,043;0,638;0,377;0,15
3509205;Cajamar;15.568;38.036;41,00%;0,276;0,409;0,074;0,056;0,573;0,428;0,115
2102408;Cajapió;3.128;7.936;78,40%;0,327;0,279;0,061;0,075;0,716;0,454;0,374
2102507;Cajari;7.419;17.377;105,90%;0,325;0,29;0,076;0,057;0,664;0,498;0,366
3509254;Cajati;5.971;13.909;48,80%;0,282;0,397;0,093;0,048;0,639;0,385;0,128
2503704;Cajazeiras;20.924;40.914;64,70%;0,287;0,267;0,061;0,032;0,721;0,507;0,132
2202075;Cajazeiras do Piauí;928;2.392;77,00%;0,271;0,292;0,048;0,083;0,646;0,366;0,193
2503753;Cajazeirinhas;1.432;3.009;109,80%;0,385;0,275;0,085;0,05;0,785;0,493;0,621
3509304;Cajobi;1.845;4.260;46,60%;0,269;0,396;0,064;0,076;0,611;0,371;0,097
2701308;Cajueiro;5.976;13.591;84,80%;0,374;0,357;0,085;0,072;0,769;0,435;0,527
2202083;Cajueiro da Praia;2.498;6.683;84,00%;0,263;0,305;0,07;0,039;0,676;0,279;0,208
3110202;Cajuri;1.397;3.210;78,50%;0,274;0,31;0,059;0,059;0,686;0,406;0,126
3509403;Cajuru;3.606;7.869;33,00%;0,267;0,386;0,122;0,023;0,621;0,414;0,036
2603306;Calçado;2.778;7.408;66,80%;0,287;0,288;0,067;0,037;0,674;0,435;0,223
1600204;Calçoene;3.287;8.484;79,90%;0,364;0,389;0,115;0,041;0,66;0,474;0,504
3110301;Caldas;2.278;5.151;36,20%;0,273;0,376;0,075;0,054;0,657;0,341;0,138
2503803;Caldas Brandão;2.233;4.600;80,00%;0,295;0,288;0,067;0,043;0,749;0,472;0,151
5204508;Caldas Novas;19.539;45.504;46,10%;0,262;0,437;0,101;0,058;0,568;0,289;0,118
5204557;Caldazinha;1.114;2.594;57,60%;0,267;0,376;0,081;0,08;0,625;0,251;0,192
2905503;Caldeirão Grande;5.253;10.863;83,10%;0,315;0,295;0,064;0,057;0,75;0,535;0,19
2202091;Caldeirão Grande do Piauí;1.973;5.045;91,70%;0,312;0,286;0,076;0,034;0,724;0,448;0,305
4103503;Califórnia;1.841;4.171;47,90%;0,281;0,391;0,068;0,033;0,656;0,367;0,171
4203154;Calmon;1.131;3.071;89,20%;0,285;0,44;0,109;0,078;0,646;0,278;0,162
2603405;Calumbi;2.497;5.688;108,80%;0,317;0,306;0,079;0,034;0,759;0,501;0,221
2905602;Camacan;7.520;16.861;74,70%;0,278;0,359;0,073;0,049;0,678;0,387;0,121
2905701;Camaçari;80.553;169.790;56,50%;0,268;0,328;0,068;0,049;0,598;0,431;0,137
3110400;Camacho;377;1.054;37,10%;0,278;0,385;0,104;0,047;0,626;0,359;0,144
2503902;Camalaú;2.576;5.426;89,20%;0,29;0,254;0,051;0,084;0,686;0,459;0,207
2905800;Camamu;10.144;23.588;77,40%;0,298;0,336;0,079;0,067;0,689;0,427;0,188
3110509;Camanducaia;3.993;9.004;34,50%;0,349;0,399;0,084;0,072;0,638;0,371;0,532
5002605;Camapuã;4.066;8.105;59,70%;0,298;0,373;0,093;0,077;0,672;0,46;0,115
4303509;Camaquã;10.819;25.098;40,40%;0,275;0,404;0,087;0,058;0,639;0,365;0,095
2603454;Camaragibe;38.504;83.158;56,30%;0,282;0,339;0,075;0,042;0,629;0,414;0,19
4303558;Camargo;506;1.278;42,90%;0,279;0,451;0,138;0,046;0,611;0,31;0,117
4103602;Cambará;4.604;11.008;47,40%;0,252;0,366;0,074;0,064;0,604;0,319;0,082
4303608;Cambará do Sul;1.004;2.348;36,90%;0,287;0,431;0,106;0,063;0,622;0,322;0,175
4103701;Cambé;17.217;41.359;38,60%;0,267;0,414;0,082;0,052;0,608;0,347;0,102
4103800;Cambira;2.058;4.841;51,20%;0,256;0,398;0,062;0,052;0,604;0,241;0,177
4203204;Camboriú;10.339;25.949;25,20%;0,26;0,481;0,113;0,05;0,567;0,236;0,115
3300902;Cambuci;3.841;7.602;52,00%;0,264;0,29;0,047;0,028;0,656;0,445;0,121
3110608;Cambuí;4.373;9.997;33,80%;0,281;0,455;0,09;0,059;0,608;0,33;0,142
3110707;Cambuquira;2.956;6.615;53,70%;0,247;0,359;0,062;0,028;0,621;0,319;0,092
1502103;Cametá;43.946;110.111;82,10%;0,318;0,293;0,077;0,069;0,659;0,485;0,322
2302602;Camocim;18.396;44.933;72,10%;0,28;0,356;0,07;0,022;0,672;0,4;0,158
2603504;Camocim de São Félix;7.869;13.803;79,20%;0,293;0,247;0,046;0,054;0,761;0,538;0,111
3110806;Campanário;1.099;2.205;75,40%;0,282;0,31;0,073;0,019;0,688;0,457;0,147
3110905;Campanha;2.869;7.667;48,10%;0,263;0,395;0,074;0,096;0,642;0,282;0,09
3111002;Campestre;3.024;7.506;36,30%;0,271;0,388;0,087;0,066;0,647;0,306;0,131
2701357;Campestre;2.292;4.964;74,50%;0,414;0,349;0,088;0,086;0,746;0,452;0,761
4303673;Campestre da Serra;374;765;23,60%;0,338;0,342;0,068;0,053;0,671;0,432;0,459
5204607;Campestre de Goiás;1.064;2.650;70,60%;0,291;0,371;0,079;0,033;0,595;0,413;0,256
2102556;Campestre do Maranhão;3.121;8.265;67,20%;0,296;0,39;0,097;0,121;0,652;0,402;0,115
4103909;Campina da Lagoa;3.511;7.896;50,20%;0,289;0,404;0,088;0,055;0,644;0,382;0,161
4303707;Campina das Missões;505;1.310;22,30%;0,241;0,373;0,08;0,052;0,589;0,223;0,131
3509452;Campina do Monte Alegre;1.299;3.212;53,90%;0,253;0,382;0,067;0,052;0,614;0,315;0,09
4103958;Campina do Simão;1.055;2.816;71,50%;0,297;0,394;0,131;0,065;0,672;0,29;0,229
2504009;Campina Grande;94.037;208.341;49,70%;0,252;0,346;0,082;0,051;0,641;0,342;0,051
4104006;Campina Grande do Sul;9.103;21.346;44,60%;0,332;0,432;0,104;0,051;0,619;0,387;0,398
3111101;Campina Verde;4.490;9.472;52,60%;0,248;0,378;0,088;0,058;0,63;0,207;0,128
5204656;Campinaçu;1.093;2.311;62,30%;0,31;0,312;0,061;0,029;0,683;0,5;0,277
5102603;Campinápolis;2.868;10.708;69,80%;0,41;0,509;0,212;0,157;0,716;0,45;0,416
3509502;Campinas;140.490;318.494;28,00%;0,266;0,404;0,063;0,04;0,577;0,398;0,116
2202109;Campinas do Piauí;2.061;4.342;87,90%;0,289;0,235;0,055;0,06;0,703;0,437;0,24
4303806;Campinas do Sul;930;2.132;40,30%;0,263;0,392;0,081;0,062;0,617;0,344;0,083
5204706;Campinorte;3.404;7.485;59,80%;0,284;0,359;0,108;0,054;0,685;0,376;0,121
2701407;Campo Alegre;9.392;21.298;66,30%;0,302;0,357;0,07;0,082;0,734;0,435;0,135
4203303;Campo Alegre;1.549;4.252;34,00%;0,267;0,464;0,101;0,055;0,61;0,275;0,098
5204805;Campo Alegre de Goiás;1.517;3.618;48,70%;0,292;0,42;0,11;0,09;0,612;0,406;0,115
2905909;Campo Alegre de Lourdes;8.376;22.522;73,40%;0,323;0,333;0,095;0,044;0,681;0,465;0,323
2202117;Campo Alegre do Fidalgo;1.873;4.002;86,70%;0,304;0,262;0,052;0,028;0,703;0,514;0,266
3111150;Campo Azul;1.256;2.753;74,10%;0,285;0,297;0,06;0,013;0,66;0,459;0,223
3111200;Campo Belo;9.115;20.796;39,80%;0,259;0,356;0,073;0,038;0,635;0,354;0,102
4203402;Campo Belo do Sul;1.742;4.042;55,70%;0,265;0,338;0,074;0,051;0,667;0,332;0,126
4303905;Campo Bom;5.574;12.918;20,50%;0,247;0,436;0,064;0,059;0,596;0,186;0,139
4104055;Campo Bonito;927;2.091;51,90%;0,288;0,391;0,093;0,072;0,67;0,337;0,166
2801009;Campo do Brito;5.519;12.160;67,00%;0,277;0,305;0,063;0,035;0,697;0,412;0,151
3111309;Campo do Meio;2.403;5.653;49,70%;0,266;0,356;0,076;0,044;0,652;0,346;0,124
4104105;Campo do Tenente;2.111;5.092;67,80%;0,346;0,386;0,105;0,036;0,697;0,415;0,435
4203501;Campo Erê;1.747;4.089;42,50%;0,276;0,405;0,097;0,056;0,648;0,328;0,124
3111408;Campo Florido;2.408;5.307;62,70%;0,37;0,384;0,065;0,073;0,643;0,333;0,723
2906006;Campo Formoso;24.313;57.984;81,20%;0,279;0,308;0,068;0,041;0,666;0,437;0,154
5002704;Campo Grande;177.230;392.843;43,70%;0,271;0,412;0,089;0,054;0,591;0,365;0,113
2701506;Campo Grande;3.491;7.992;98,10%;0,374;0,318;0,107;0,061;0,805;0,507;0,446
2202133;Campo Grande do Piauí;2.228;4.890;81,20%;0,29;0,271;0,057;0,078;0,66;0,448;0,227
4104204;Campo Largo;17.170;41.059;30,10%;0,272;0,405;0,091;0,053;0,601;0,348;0,133
2202174;Campo Largo do Piauí;2.779;6.595;88,90%;0,309;0,296;0,053;0,069;0,669;0,493;0,271
5204854;Campo Limpo de Goiás;2.231;5.864;72,60%;0,283;0,37;0,099;0,025;0,631;0,462;0,112
3509601;Campo Limpo Paulista;10.916;25.412;32,70%;0,278;0,423;0,083;0,042;0,599;0,403;0,116
4104253;Campo Magro;5.215;12.727;42,20%;0,287;0,42;0,119;0,079;0,629;0,35;0,126
2202208;Campo Maior;15.789;32.118;70,10%;0,281;0,256;0,048;0,036;0,709;0,461;0,173
4104303;Campo Mourão;16.946;37.735;38,00%;0,264;0,399;0,07;0,051;0,61;0,343;0,109
4304002;Campo Novo;1.090;2.421;48,70%;0,298;0,37;0,114;0,087;0,679;0,375;0,161
1100700;Campo Novo de Rondônia;1.833;4.835;54,70%;0,289;0,383;0,115;0,089;0,672;0,237;0,237
5102637;Campo Novo do Parecis;5.372;14.094;30,70%;0,274;0,447;0,123;0,082;0,606;0,202;0,182
2402105;Campo Redondo;3.651;7.644;74,80%;0,283;0,262;0,038;0,037;0,714;0,494;0,152
5102678;Campo Verde;7.243;18.935;42,50%;0,253;0,444;0,107;0,025;0,574;0,224;0,145
3111507;Campos Altos;1.602;4.540;35,00%;0,414;0,383;0,124;0,119;0,663;0,324;0,869
5204904;Campos Belos;5.321;12.906;71,30%;0,304;0,355;0,107;0,074;0,646;0,383;0,257
4304101;Campos Borges;779;1.531;42,40%;0,316;0,302;0,042;0,035;0,668;0,482;0,365
5102686;Campos de Júlio;1.650;4.329;49,10%;0,26;0,487;0,106;0,033;0,605;0,15;0,18
3509700;Campos do Jordão;4.875;12.336;26,30%;0,262;0,445;0,076;0,049;0,626;0,293;0,082
3301009;Campos dos Goytacazes;93.383;211.734;43,80%;0,285;0,366;0,073;0,058;0,667;0,446;0,1
3111606;Campos Gerais;5.075;12.847;49,20%;0,258;0,38;0,085;0,048;0,634;0,305;0,097
1703842;Campos Lindos;2.055;5.913;68,30%;0,304;0,424;0,141;0,056;0,65;0,315;0,237
4203600;Campos Novos;3.438;9.088;24,60%;0,258;0,492;0,131;0,062;0,615;0,129;0,12
3509809;Campos Novos Paulista;964;2.238;45,80%;0,299;0,416;0,089;0,072;0,673;0,448;0,098
2302701;Campos Sales;8.465;19.937;79,30%;0,264;0,312;0,057;0,022;0,648;0,361;0,187
5204953;Campos Verdes;1.910;3.731;93,20%;0,349;0,317;0,099;0,028;0,649;0,478;0,524
2603603;Camutanga;2.627;6.084;78,50%;0,291;0,307;0,061;0,038;0,72;0,433;0,189
3111903;Cana Verde;1.034;2.604;49,40%;0,247;0,314;0,063;0,048;0,661;0,333;0,064
3111705;Canaã;1.252;2.910;61,70%;0,279;0,274;0,067;0,06;0,751;0,436;0,089
1502152;Canaã dos Carajás;22.100;54.337;70,50%;0,301;0,417;0,135;0,068;0,611;0,391;0,184
5102694;Canabrava do Norte;1.100;2.804;62,50%;0,308;0,409;0,126;0,068;0,651;0,357;0,235
3509908;Cananéia;2.933;6.773;55,10%;0,275;0,364;0,095;0,041;0,632;0,423;0,094
2701605;Canapi;5.094;13.183;84,70%;0,35;0,304;0,079;0,069;0,759;0,478;0,411
2906105;Canápolis;2.845;7.704;75,30%;0,299;0,316;0,099;0,051;0,684;0,451;0,19
3111804;Canápolis;2.000;4.114;38,80%;0,249;0,378;0,063;0,021;0,624;0,302;0,107
2906204;Canarana;7.585;18.868;77,90%;0,275;0,292;0,052;0,074;0,637;0,44;0,154
5102702;Canarana;3.582;9.846;38,10%;0,304;0,462;0,132;0,097;0,636;0,25;0,244
3509957;Canas;1.189;3.114;63,20%;0,284;0,376;0,098;0,041;0,637;0,458;0,093
2202251;Canavieira;1.232;2.556;74,90%;0,396;0,278;0,07;0,104;0,741;0,517;0,666
2906303;Canavieiras;11.889;23.666;72,40%;0,312;0,303;0,071;0,059;0,728;0,465;0,243
2906402;Candeal;2.998;6.419;82,60%;0,288;0,259;0,068;0,059;0,698;0,458;0,188
2906501;Candeias;20.999;43.372;59,90%;0,296;0,319;0,065;0,059;0,61;0,465;0,257
3112000;Candeias;2.706;6.341;45,30%;0,241;0,31;0,074;0,043;0,631;0,28;0,107
1100809;Candeias do Jamari;7.827;17.947;80,40%;0,307;0,394;0,107;0,054;0,663;0,377;0,247
4304200;Candelária;4.317;9.784;33,80%;0,28;0,347;0,085;0,029;0,665;0,411;0,144
2906600;Candiba;4.287;10.393;79,80%;0,282;0,269;0,049;0,049;0,692;0,413;0,218
4104402;Cândido de Abreu;3.209;7.725;50,70%;0,308;0,331;0,104;0,067;0,687;0,426;0,233
4304309;Cândido Godói;471;1.151;18,30%;0,321;0,373;0,066;0,1;0,596;0,182;0,608
2102606;Cândido Mendes;6.346;16.357;82,10%;0,29;0,324;0,075;0,047;0,634;0,437;0,223
3510005;Cândido Mota;3.937;10.340;35,10%;0,242;0,439;0,069;0,053;0,604;0,213;0,077
3510104;Cândido Rodrigues;682;1.589;55,00%;0,265;0,402;0,054;0,063;0,616;0,341;0,116
2906709;Cândido Sales;10.742;20.814;82,40%;0,302;0,271;0,06;0,039;0,719;0,48;0,241
4304358;Candiota;2.648;5.816;54,30%;0,283;0,357;0,098;0,056;0,663;0,406;0,118
4104428;Candói;3.332;8.593;57,40%;0,256;0,374;0,108;0,056;0,645;0,205;0,144
4304408;Canela;6.543;15.154;31,00%;0,288;0,413;0,091;0,066;0,628;0,389;0,138
4203709;Canelinha;2.279;5.202;40,60%;0,355;0,411;0,103;0,056;0,702;0,502;0,357
2402204;Canguaretama;8.926;22.286;75,10%;0,304;0,343;0,09;0,079;0,73;0,482;0,102
4304507;Canguçu;9.598;20.716;41,70%;0,273;0,306;0,081;0,042;0,668;0,376;0,167
2801108;Canhoba;1.949;4.045;106,70%;0,259;0,266;0,053;0,034;0,651;0,47;0,08
2603702;Canhotinho;7.288;16.527;67,90%;0,299;0,303;0,067;0,081;0,722;0,473;0,149
2302800;Canindé;24.483;54.336;73,30%;0,274;0,289;0,047;0,027;0,65;0,44;0,189
2801207;Canindé de São Francisco;9.844;23.879;89,00%;0,309;0,352;0,094;0,079;0,716;0,423;0,193
