cod. ibge;ano;pib;impostos_liquidos;va;va_agropecuaria;va_industria;va_servicos;va_adespss
4301750;2021;142318;5620;136698;65886;4638;22594;43580
2910107;2021;142303;10668;131636;29118;6249;44427;51842
3532157;2021;142301;12533;129768;36996;2574;65533;24665
4219358;2021;142269;6588;135682;54767;11892;39539;29484
2601003;2021;142260;4513;137746;49336;5113;26107;57190
4113759;2021;142223;7274;134949;63875;5933;37939;27202
4320859;2021;142085;6700;135385;67975;8288;25783;33340
2400109;2021;141994;11217;130777;17169;8762;41691;63155
4213153;2021;141926;10000;131926;47353;7827;55780;20966
3167400;2021;141556;8600;132956;46269;16498;38529;31660
2207405;2021;141457;7715;133742;86651;5579;16527;24985
2921401;2021;141427;6275;135152;24133;8920;30740;71359
2616506;2021;141411;8249;133162;13442;2932;39554;77235
4204178;2021;141410;3262;138148;85043;5004;26593;21509
2203206;2021;141390;9115;132275;18753;11679;42938;58905
3533700;2021;141366;6176;135190;57667;8463;42198;26862
2904852;2021;141199;5502;135697;21840;8965;32502;72391
4321634;2021;141196;13166;128030;58790;11257;37427;20556
1507755;2021;141176;10226;130951;56541;6983;27635;39792
5214861;2021;141160;8853;132307;44330;6188;42618;39171
3512605;2021;141158;4753;136405;65679;10819;31399;28508
4313003;2021;141143;10062;131082;60100;16171;30521;24290
1702901;2021;141092;6665;134427;21290;3740;28201;81195
2106300;2021;140989;6137;134852;24589;5145;32869;72250
2906600;2021;140828;7751;133077;27594;7948;44302;53232
4308078;2021;140822;11490;129333;40274;14592;41377;33090
3150158;2021;140778;7590;133188;39253;6917;42739;44279
3156007;2021;140768;5862;134906;30867;3287;44396;56356
2404606;2021;140721;6744;133977;16513;2968;28024;86472
2911857;2021;140665;6526;134138;34114;8349;35721;55954
5106174;2021;140597;6917;133681;82846;3221;12742;34872
4310306;2021;140569;10683;129886;47224;16023;39699;26940
2701209;2021;140461;4069;136392;45894;4869;28584;57045
2402709;2021;140412;11384;129028;22925;5741;31222;69140
3172103;2021;140361;22319;118042;12821;30882;43597;30742
2800407;2021;140122;8028;132094;34310;7663;27265;62857
4123824;2021;140120;11058;129062;55731;9015;40812;23505
2516607;2021;139900;6738;133162;12133;6429;33795;80806
2607703;2021;139873;5964;133909;18359;5773;37999;71778
2920403;2021;139859;6396;133463;35512;5853;34818;57281
3116704;2021;139845;12300;127545;30316;9826;51600;35803
3169802;2021;139820;6900;132920;63352;7274;34520;27774
3553203;2021;139651;11499;128152;24191;20238;52323;31400
1718881;2021;139630;2367;137264;94479;3384;11795;27606
5211602;2021;139620;6416;133204;65132;35794;14620;17658
5220058;2021;139615;4207;135408;96548;4951;20338;13570
2401800;2021;139466;10640;128826;4170;5022;45049;74584
1703305;2021;139410;2118;137292;83369;3909;11814;38199
2910859;2021;139371;7392;131979;12728;9741;43487;66023
